Skills,Count
0,0
.net,4
3d graphics,1
access,2
actionscript,3
adobe creative suite,1
aerospace engineering,1
agda,1
agile,3
agile development,1
ajax,2
akka,2
algorithm design and implementation,1
algorithmic theory,1
algorithms,20
algorithms and data structures,1
ampq,1
analysis,12
analytic modeling,1
analytics,4
and circuit design,1
android,19
android development,1
angular,21
angular.js,1
angularjs,10
animation,2
ansible,2
apache spark,1
api design,1
apis,3
app development,1
app stores,1
applescript,2
application security frameworks,1
arc,17
arcgis,1
arch,11
arch linux,1
architecture,6
arduino,11
arm,2
art,2
art classification,1
artificial intelligence,4
asm,2
assembly,4
asterisk,1
asts,1
audio,6
audio editing,1
audio engineering,1
augmented reality,1
autocad,1
autodidact,1
automata theory,1
automated testing,1
automation,2
awk,4
aws,16
aws deployment,1
backbone-relational,1
backbone.js,19
backend,2
bash,22
basic,9
beaglebone,1
beards,1
behavior design,1
big data,3
biking,5
binary classification,1
bioinformatics,2
biology,4
biostatistics,1
birding,1
bittorrent,3
blockchain,1
bloomberg api,1
bootstrap,3
bottle framework,1
bouldering,1
boundary element modeling,1
bsd,3
business resilience,1
bytecode,1
bzr,1
c,101
c#,17
c++,57
camping,1
canvas,5
capability security,1
capital markets,1
cars,1
cassandra,1
cat-petting,1
category theory,2
cats,1
celery,1
cfa,1
chef,4
chemistry,2
chinese,1
chuck,2
ci,43
cinder,1
cl,1
climbing,4
clojure,68
clojurescript,11
cloud computing,2
cloudfoundry,1
clustering,1
cocoa,3
cocos2d,1
code para-trooping,1
code quality,1
code review,1
codeigniter,1
coffee,19
coffeescript,21
comedy,1
command line,1
common lisp,5
compass,1
compiler,11
compiler design,1
compilers,9
component based engines,1
component models,1
computational genomics,1
computational geometry,1
computational linguistics,2
computer architecture,1
computer crime investigation,1
computer graphics,1
computer networking,2
computer science,2
computer science education,1
computer science theory,1
computer security,1
computer vision,6
concurrency,4
concurrent,2
concurrent haskell,1
consensus,1
conversing,1
cooking,1
coq,1
cordova,1
core,3
cosmosworks,1
couchdb,2
coursera course,1
cows,1
crashing irc bots,1
creative coding,1
creative reuse,1
creative thinking,1
credit cards,1
crossfit,1
cryptography,3
cs,1
cs theory,2
csound,1
css,59
css3,4
ctypes,1
cucumber,1
cuda,1
curve building,1
cvs,1
cycling,3
cython,1
d,1
d3,19
d3.js,5
d3js,1
dairy,1
darcs,3
data,2
data analysis,4
data analysis/visualization,1
data handling,2
data handling and analysis,1
data management,1
data mining,5
data modeling,1
data munging,1
data science,10
data structures,5
data visualization,6
data viz,1
database,8
database architecture,1
database design,1
databases,5
datamapper,1
dc.js,1
debian,3
debt valuation,1
debugging,3
debugging anything,1
dec assemblers,1
decision science,1
deep learning,1
deployment,3
derivative,4
derivative pricing,1
derivatives,3
derivatives risk management,1
design,40
design of experiments,1
design work,1
designing and implementing algorithms,1
devops,4
digital,2
digital audio,1
digital fabrication,1
disco,1
distributed,13
distributed computing,1
distributed system,12
distributed systems,11
distributed systems architecture,1
diy culture,1
django,28
dns,1
docker,1
documentation,1
dojo,1
drifting,1
driving,1
drumming,1
drupal,4
dsp,1
dvcs,1
dynamic analytics,1
dynamic web,1
dynamodb,1
ebay,1
ec2,3
eclipse,2
econometrics,2
editing,4
editing code,1
education,2
elasticsearch,1
elixir,4
elm,5
emacs,12
emacs lisp,2
embedded,3
embedded systems,2
ember,5
ember.js,2
emberjs,2
engineering management,1
english,3
enormous codebases,1
equity,1
erb,1
erlang,12
erlang m,1
espresso,1
etc,5
etcd,1
ethical hacking,1
event-driven systems,1
eventmachine,2
excel,3
experimental analysis,1
express,9
ext,3
f#,2
facebook,1
factor,2
fault-tolerance,1
finance,3
financial derivatives,1
financial modelling,1
finite element modeling,1
fixed income trading,1
flame effects,1
flask,24
flora,1
fluentd,1
food,1
forex trading,1
formal logic,1
forth,1
fortran,5
fp,2
fpga,1
framer.js,1
freebsd,2
french,4
frisbee,2
front end,12
front end development,3
front-end programming,1
frontend webdev,1
full stack,3
full-stack web development,1
functional,25
functional languages,2
functional programming,21
functional reactive programming,1
gae,1
game,16
game design,4
game dev,3
game development,2
game programming,1
games,7
gawk,1
generative testing,1
genetic,1
genomics,3
german,1
ghc,1
gis,11
git,189
github,1
glsl,2
gnome,1
gnu,4
gnuplot,1
go,19
goji,1
golang,3
goliath,1
google,8
google analytics,1
google app engine,4
google drive,1
google maps,1
government data,1
gpu computing,1
graph,17
graph theory,3
graphic,10
graphic design,1
graphics,9
graphics programming,1
graphics theory,1
graphite,1
grunt,1
gsoc,1
gtfs,1
gui,5
gwt,1
hackerspaces,1
hacking,4
hadoop,6
hadoop(emr),1
haiku,1
hailing the glow cloud,1
haml,4
hardware,8
hardware design,1
hardware prototyping,1
hardware.,1
haskell,35
hci,1
heroku,12
hft,1
hg,3
high-speed trading controls,1
hive,1
home automation,1
homebrew,1
hpc,1
html,76
http,4
human,2
human language processing,1
human memory,1
hunch,1
hypertext,1
ibid,1
icelandic,1
iis,1
illustration,1
illustrator,3
image,6
image editing,1
image processing,5
image processing and analysis,1
immutable data,1
implementation,2
indesign,1
information,5
information architecture,1
information retrieval,3
information security,1
infosec,1
installation design,1
interaction design,2
interactive theorem proving,1
interpreters,4
io,1
ios,24
ios development,1
ip,1
iphone,2
ipoac,1
ipython,3
ir,1
irc,3
j2ee,1
java,106
java (ee/se/me),1
java ee,1
java profiling,1
javascript,238
jekyll,2
jinja,2
jmvc,1
joblib,1
jogging,1
jquery,28
js,7
json,1
julia,19
jvm tuning,1
kefir,1
kinect,1
kiteboarding,1
kitten,4
kitten robots,1
kittens,3
kittins,0
lamp,1
languages,12
laravel,1
latex,10
latin,1
lattice theory,1
leaflet,2
learning,1
learning languages,1
lego,1
less,2
lexers,1
lexical analysis,1
lexing,1
libreoffice,1
linear,6
linear algebra,4
linear programming,1
linear regressions,1
linguistic,4
linguistics,4
linux,40
linux kernel,1
linux systems,1
lisp,22
livecode,1
logic,5
logical relations,1
logistics optimization schemes,1
londboarding,1
low latency,1
lua,5
ludonarrative,1
m/monit,1
m2m,1
mac,1
mac os x,1
mac repair,1
machine learning,55
macos,1
macros,1
management,10
managing web products,1
mapReduce,2
mapbox,1
mapping,4
mapping tools,1
mapping visualizations,1
maps,3
marathon running,1
marionette,2
marketing,1
math,27
mathematica,6
mathematical programming,1
mathematics,5
matlab,18
matplotlib,1
mechanized metatheory,1
meditation,1
memcache,1
mercurial,4
mesh networking,1
metaheuristic algorithms,1
metaprogramming,1
meteor,5
microsoft office,1
microsoft sql server,1
midi,1
milk,1
minikanren,1
mixpanel,1
ml,5
mobile,5
mobile web,2
mocha,3
molecular simulation,1
mongo,30
mongodb,24
monit,4
monitoring,2
monte carlo,1
motorcycling,1
mrjob,1
multi-threading,1
multiplayer games,1
music,7
music analysis,1
music theory,2
music theory.,1
mvc,2
mysql,23
nastran,1
natural language processing,8
natural language toolkit,1
nbc,1
ndb,2
nethack,1
network,23
network design,1
network programming,1
network security,1
networking,15
networking in python,1
networks,5
neural networks,1
neurolinguistics,1
neuroscience,2
nginx,1
nlp,6
nltk,3
nmap,1
node.js,67
nosql,5
nosql(riak,1
numerical computing,1
numerical libraries,1
numpy,7
nx,2
nyc,1
oauth2,2
object-orientated programming,1
objective c,30
ocaml,10
octave,3
